"","D","Pilot","True N","Estimated N","Std Error of N","Estimated/True","N-TrueN","Coverage Probability","Std Err Coverage","Expected Lambda","std err Lambda","Time to compute"
"1",1.021,50,58.8636923664287,60.418,7.98754256121577,1.02640520108551,1.55430763357127,0.259,0.438129423205399,5.02894794933995,0.331177840143111,7.06999999999994
"2",1.02,50,64.8334435566598,66.064,8.86221257713628,1.01898027277025,1.23055644334015,0.2356,0.424415675644935,5.02783096684315,0.323128498358535,8.72000000000003
"3",1.019,50,71.7669549822236,73.0138,9.6814232192953,1.017373525435,1.24684501777641,0.2492,0.432593096751984,5.02508952651169,0.314794387048804,13.99
"4",1.018,50,79.8838528129552,81.1802,10.0276736488461,1.01622790014999,1.29634718704482,0.24,0.427125844801575,5.01932722931519,0.293665823644742,26.51
"5",1.017,50,89.4701387929217,90.864,10.5560309756078,1.01557906610947,1.39386120707829,0.2546,0.435679702718261,5.01461872386527,0.274501562803791,19.3899999999999
"6",1.016,50,100.903813077714,102.4634,11.4683985487536,1.01545617429824,1.55958692228624,0.2316,0.421896953541835,5.01078555340628,0.26379516412443,24.03
"7",1.015,50,114.692828540712,116.436,11.8916014916918,1.01519860902785,1.74317145928826,0.24,0.427125844801575,5.00450871533456,0.23976756039253,31.0500000000002
"8",1.014,50,131.532657818812,133.2364,12.9940711178923,1.01295299744901,1.70374218118826,0.247,0.43130987194954,5.005111812025,0.227903516310606,39.78
"9",1.013,50,152.395974440312,154.0946,13.5944037163268,1.01114613142458,1.69862555968797,0.2412,0.427854147852241,5.00403664762385,0.20554882522735,51.3399999999999
"10",1.012,50,178.676685176865,180.8808,14.8616003442751,1.01233577184932,2.20411482313514,0.2548,0.435792316348737,4.99704579741503,0.191875243454624,67
"11",1.011,50,212.429503204026,214.3936,16.5311141362861,1.00924587576749,1.96409679597403,0.2422,0.428457553527809,5.00037906197895,0.179471766221231,87.3300000000002
"12",1.01,50,256.78501347095,259.2968,17.9493605922087,1.00978167103718,2.51178652905031,0.2458,0.430603580905661,4.99521444173862,0.160637356569963,118.03
